year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,ID,Idaho,Boise City,24.9,5957,43.64,-116.2232431
2014,ID,Idaho,Boise City,27.2,3284,43.65,-116.2441564
2014,ID,Idaho,Boise City,27.2,52,43.67,-116.3367482
2014,IA,Iowa,Iowa City,29.9,475,41.64,-91.54736807
2014,IA,Iowa,Iowa City,23.9,5816,41.68,-91.51783446
2014,IA,Iowa,Iowa City,29,4601,41.62,-91.50244814
2014,IA,Iowa,Iowa City,25.1,3006,41.66,-91.49233302
2014,IA,Iowa,Sioux City,38.7,4355,42.52,-96.39445965
2014,IA,Iowa,Iowa City,24.7,6566,41.66,-91.59139741
2014,IA,Iowa,Iowa City,26,3096,41.65,-91.47361152
2014,IA,Iowa,Iowa City,23.7,1928,41.66,-91.51081121
2014,IA,Iowa,Iowa City,26.9,3934,41.67,-91.52847911
2014,IA,Iowa,Iowa City,24.9,7267,41.66,-91.52595961
2014,IA,Iowa,Iowa City,30,3790,41.64,-91.52440451
2014,IA,Iowa,Iowa City,28.5,67862,41.66,-91.53088549
2014,IA,Iowa,Iowa City,25.1,3784,41.66,-91.53631453
2014,IA,Iowa,Iowa City,27.3,2553,41.65,-91.51023115
2014,IA,Iowa,Iowa City,22.4,3001,41.65,-91.54631251
2014,IA,Iowa,Iowa City,21.4,4510,41.67,-91.54765063
2014,IA,Iowa,Iowa City,25.3,67862,41.66,-91.53088549
2014,IA,Iowa,Iowa City,26.6,2814,41.64,-91.51025565
2014,IA,Iowa,Iowa City,27.2,4587,41.65,-91.49139285
2014,IA,Iowa,Iowa City,23.1,6134,41.65,-91.56589135
2014,IA,Iowa,Sioux City,31.6,5890,42.44,-96.3577432
2014,IA,Iowa,Sioux City,36.6,3177,42.50,-96.4589767
2014,IA,Iowa,Sioux City,30.4,2979,42.45,-96.33570508
2014,IA,Iowa,Sioux City,39.5,4410,42.50,-96.43195657
2014,IA,Iowa,Sioux City,36.7,1774,42.52,-96.40616745
2014,IA,Iowa,Sioux City,34.8,82684,42.50,-96.39138348
2014,IA,Iowa,Sioux City,35.5,82684,42.50,-96.39138348
2014,IA,Iowa,Sioux City,30.9,4579,42.55,-96.41986155
2014,IA,Iowa,Sioux City,44,2303,42.50,-96.4209692
2014,IA,Iowa,Sioux City,30.1,3392,42.54,-96.45395911
2014,IA,Iowa,Sioux City,32.2,6730,42.48,-96.35445407
2014,IA,Iowa,Sioux City,41,2890,42.43,-96.38523489
2014,IA,Iowa,Sioux City,31.7,6097,42.54,-96.39660275
2014,IA,Iowa,Sioux City,33.7,2090,42.52,-96.41655373
